mnemonic,unit,value,descr,API,file,MaxDepth
MRT,degF,114.84,Maximum Recorded Temperature,0508107296,0508107296_2590149.LAS,4343.25
MRT,DEGF,128.0,Maximum Recorded Temperature,0508107304,0508107304_2762056.las,7965.0
MRT1,DEGF,128.0,Maximum Recorded Temperature 1,0508107304,0508107304_2762056.las,7965.0
MRT2,,,Maximum Recorded Temperature 2,0508107304,0508107304_2762056.las,7965.0
MRT3,,,Maximum Recorded Temperature 3,0508107304,0508107304_2762056.las,7965.0
BHT,DEGF,128.0,Bottom Hole Temperature (used in calculations),0508107304,0508107304_2762056.las,7965.0
BHT,DEGF,142,Bottom Hole Temperature,0508107317,0508107317_2761990.las,8015.0
MRT,DEGF,142,Maximum Recorded Temperature,0508107317,0508107317_2761990.las,8015.0
BHT,DEGF,182,Bottom Hole Temperature,0508107328,0508107328_2250075.LAS,7096.0
MRT,DEGF,182,Maximum Recorded Temperature,0508107328,0508107328_2250075.LAS,7096.0
BHT,DEGF,182,Bottom Hole Temperature,0508107328,0508107328_2580956.LAS,195.5
MRT,DEGF,182,Maximum Recorded Temperature,0508107328,0508107328_2580956.LAS,195.5
BHT,DEGF,111.0,Bottom Hole Temperature (used in calculations),0508107330,0508107330_2592143.las,4515.5
MRT,DEGF,111.0,Maximum Recorded Temperature,0508107330,0508107330_2592143.las,4515.5
BHT,DEGF,90.0,Bottom Hole Temperature (used in calculations),0508107336,0508107336_2283994.LAS,2976.0
MRT,DEGF,90.0,Maximum Recorded Temperature,0508107336,0508107336_2283994.LAS,2976.0
BHT,DEGF,257.0,Bottom Hole Temperature (used in calculations),0508107336,0508107336_3356213.las,9041.5
MRT,DEGF,238.5,Maximum Recorded Temperature,0508107336,0508107336_3356213.las,9041.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107347,0508107347_2761991.las,7750.0
MRT,,,Maximum Recorded Temperature,0508107347,0508107347_2761991.las,7750.0
BHT,DEGF,140.0,Bottom Hole Temperature (used in calculations),0508107348,0508107348_2585411.las,1914.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0508107348,0508107348_2585411.las,1914.0
