DEPT,GR,GRTO,POTA,THOR,URAN
671.0,7.16,5.4161,0.0403,0.468,0.8324
671.5,6.5802,5.7318,0.0501,0.4963,0.8693
672.0,8.305,6.4432,0.0579,0.5525,0.9998
672.5,10.7182,7.4353,0.0637,0.6281,1.1844
673.0,10.9356,7.708,0.0634,0.6676,1.2348
673.5,9.7399,7.5219,0.0586,0.673,1.2027
674.0,7.7325,7.4431,0.0644,0.7023,1.1508
674.5,6.2396,7.0652,0.0693,0.6903,1.0521
675.0,6.1961,7.0674,0.0824,0.6948,1.001
675.5,6.4353,6.5195,0.084,0.6465,0.897
676.0,6.37,6.4589,0.0891,0.6078,0.8964
676.5,6.0004,6.6989,0.0965,0.5095,0.9678
677.0,6.6164,7.323,0.1035,0.3814,1.1275
677.5,8.0586,7.6682,0.1103,0.2715,1.2367
678.0,9.0224,7.7578,0.1113,0.1863,1.2815
678.5,10.3124,8.0403,0.1252,0.1978,1.2912
679.0,10.3414,7.766,0.1321,0.1899,1.1945
679.5,9.2978,7.7072,0.1488,0.1921,1.1165
680.0,8.3557,7.8723,0.1691,0.1947,1.0874
680.5,7.5223,8.4043,0.1931,0.2258,1.1182
681.0,8.0296,8.6307,0.1961,0.2444,1.1584
681.5,8.7833,9.2051,0.1995,0.2787,1.2596
682.0,9.6022,9.442,0.1968,0.3117,1.3201
682.5,11.5371,9.7804,0.2014,0.3858,1.3639
683.0,11.124,9.7624,0.2017,0.4251,1.3591
683.5,10.1167,9.4805,0.199,0.4435,1.2808
684.0,10.4066,9.0035,0.1915,0.3876,1.2256
684.5,8.8195,8.6874,0.1811,0.3771,1.1818
685.0,7.3919,8.061,0.1654,0.3756,1.0833
685.5,7.3919,7.5276,0.1457,0.3657,1.0174
686.0,7.718,7.0308,0.1315,0.3893,0.9259
686.5,7.8774,6.8453,0.1215,0.4431,0.8744
687.0,7.9861,7.0645,0.1236,0.5244,0.8531
687.5,7.8557,6.8373,0.1216,0.5496,0.78
688.0,8.1383,6.7852,0.1293,0.5541,0.7445
688.5,8.3847,6.7205,0.1331,0.5505,0.7238
689.0,9.0007,7.3294,0.1429,0.606,0.7774
689.5,10.682,8.3241,0.1575,0.6892,0.8619
690.0,11.9574,8.5835,0.1533,0.7206,0.8767
690.5,12.2545,8.1636,0.1345,0.6805,0.8398
691.0,12.0516,7.6135,0.1149,0.6191,0.833
691.5,10.8124,6.921,0.0985,0.54,0.8132
692.0,8.1383,7.1015,0.0995,0.5383,0.8894
692.5,7.16,7.4088,0.1025,0.4878,0.9604
693.0,7.5151,7.4551,0.1056,0.4379,0.9737
693.5,7.66,7.7093,0.1215,0.4043,0.9924
694.0,8.1745,7.7129,0.1295,0.3676,0.9861
694.5,8.8195,7.0388,0.1221,0.3156,0.8889
695.0,8.8485,6.9516,0.1214,0.2715,0.8802
695.5,8.6383,7.191,0.1241,0.2546,0.9119
696.0,8.305,7.7329,0.1317,0.2424,1.0019
696.5,7.131,8.7013,0.1496,0.1994,1.16
697.0,6.8121,9.2328,0.1734,0.1499,1.2273
697.5,8.4137,8.7868,0.1763,0.0756,1.1787
698.0,9.421,8.6341,0.1813,0.0597,1.152
698.5,8.4789,8.4889,0.1805,0.059,1.1313
699.0,7.4861,8.3359,0.1827,0.0712,1.0973
699.5,8.16,8.3794,0.1859,0.0778,1.1077
700.0,9.1818,7.9625,0.1804,0.0849,1.0415
700.5,9.3485,7.5236,0.1657,0.1161,0.9768
701.0,9.508,7.1223,0.16,0.1494,0.8772
701.5,9.0587,7.0836,0.1653,0.1759,0.7974
