API_Label,Latitude,Longitude,geometry
05-057-06020,40.749773,-106.168309,POINT (401372 4511637)
05-057-06021,40.714905,-106.498882,POINT (373398 4508190)
05-057-06022,40.809412,-106.315024,POINT (389085 4518432)
05-057-06023,40.520544,-106.503817,POINT (372612 4486621)
05-057-06024,40.722312,-106.503559,POINT (373017 4509019)
05-057-06025,40.77592,-106.23358,POINT (395902 4514614)
05-057-06026,40.77558,-106.22897,POINT (396291 4514571)
05-057-06027,40.775512,-106.22438,POINT (396678 4514558)
05-057-06028,40.77964,-106.24414,POINT (395017 4515040)
05-057-06029,40.779389,-106.239278,POINT (395427 4515006)
05-057-06030,40.783139,-106.24375,POINT (395055 4515428)
05-057-06031,40.718608,-106.498828,POINT (373410 4508601)
05-057-06032,40.7865,-106.24278,POINT (395143 4515800)
05-057-06033,40.78931,-106.24692,POINT (394798 4516117)
05-057-06034,40.78942,-106.24256,POINT (395166 4516124)
05-057-06035,40.785732,-106.237831,POINT (395559 4515709)
05-057-06036,40.782412,-106.233781,POINT (395895 4515335)
05-057-06037,40.779072,-106.228681,POINT (396321 4514959)
05-057-06039,40.77936,-106.23444,POINT (395835 4514997)
05-057-06040,40.77633,-106.24394,POINT (395029 4514672)
05-057-06041,40.76856,-106.21981,POINT (397053 4513781)
05-057-06042,40.793022,-106.251492,POINT (394418 4516534)
05-057-06043,40.795602,-106.253392,POINT (394262 4516823)
05-057-06044,40.772,-106.22939,POINT (396250 4514174)
05-057-06045,40.768053,-106.21458,POINT (397494 4513719)
05-057-06046,40.777652,-106.236631,POINT (395648 4514810)
05-057-06047,40.718408,-106.4988,POINT (373412 4508579)
05-057-06048,40.78931,-106.25167,POINT (394397 4516123)
05-057-06049,40.77236,-106.23417,POINT (395847 4514220)
05-057-06050,40.76461,-106.21628,POINT (397345 4513339)
05-057-06051,40.781139,-106.241389,POINT (395251 4515203)
05-057-06052,40.774,-106.23147,POINT (396077 4514399)
05-057-06053,40.76475,-106.21989,POINT (397040 4513358)
05-057-06054,40.778842,-106.225921,POINT (396553 4514930)
05-057-06055,40.744963,-106.157898,POINT (402244 4511091)
05-057-06056,40.789802,-106.261642,POINT (393556 4516189)
05-057-06057,40.718564,-106.494159,POINT (373804 4508589)
05-057-06058,40.83511,-106.50654,POINT (372980 4521545)
05-057-06059,40.733131,-106.498879,POINT (373433 4510213)
05-057-06060,40.464808,-106.49267,POINT (373452 4480418)
05-057-06061,40.532814,-106.452255,POINT (377003 4487910)
05-057-06062,40.715581,-106.491952,POINT (373985 4508255)
05-057-06063,40.576053,-106.556749,POINT (368237 4492861)
05-057-06064,40.90031,-106.48544,POINT (374882 4528753)
05-057-06065,40.53944,-106.44199,POINT (377884 4488631)
05-057-06066,40.547734,-106.484617,POINT (374290 4489612)
05-057-06067,40.513194,-106.493506,POINT (373472 4485791)
05-057-06068,40.674382,-106.479388,POINT (374969 4503664)
05-057-06069,40.714271,-106.493056,POINT (373889 4508111)
05-057-06070,40.722103,-106.496571,POINT (373607 4508986)
05-057-06071,40.644443,-106.313872,POINT (388908 4500118)
05-057-06072,40.872727,-106.559006,POINT (368631 4525798)
05-057-06073,40.718861,-106.519369,POINT (371675 4508659)
05-057-06074,40.637075,-106.101425,POINT (406861 4499053)
05-057-06075,40.706202,-106.407256,POINT (381122 4507096)
05-057-06076,40.704342,-106.441097,POINT (378260 4506936)
05-057-06077,40.734361,-106.501869,POINT (373183 4510354)
05-057-06078,40.751155,-106.497494,POINT (373584 4512212)
05-057-06079,40.729372,-106.486298,POINT (374488 4509778)
05-057-06080,40.71211,-106.492479,POINT (373934 4507870)
05-057-06081,40.759543,-106.21635,POINT (397331 4512776)
05-057-06082,40.867051,-106.390257,POINT (382841 4524929)
05-057-06083,40.771492,-106.22083,POINT (396971 4514108)
05-057-06084,40.713782,-106.365444,POINT (384667 4507881)
05-057-06085,40.806212,-106.176129,POINT (400796 4517911)
05-057-06086,40.88579,-106.360526,POINT (385379 4526970)
05-057-06087,40.767422,-106.243111,POINT (395085 4513682)
05-057-06088,40.80797,-106.27191,POINT (392719 4518219)
05-057-06089,40.709882,-106.492048,POINT (373966 4507622)
05-057-06090,40.67745,-106.48365,POINT (374614 4504010)
05-057-06091,40.844577,-106.284439,POINT (391722 4522298)
05-057-06092,40.700046,-106.480159,POINT (374952 4506514)
05-057-06093,40.719956,-106.500367,POINT (373282 4508753)
05-057-06094,40.547213,-106.449743,POINT (377242 4489505)
05-057-06095,40.712309,-106.49822,POINT (373449 4507901)
05-057-06096,40.709992,-106.497618,POINT (373495 4507643)
05-057-06097,40.729559,-106.499583,POINT (373367 4509818)
05-057-06098,40.346632,-106.407114,POINT (380497 4467181)
05-057-06099,40.685182,-106.493548,POINT (373792 4504883)
05-057-06100,40.719905,-106.495677,POINT (373678 4508740)
05-057-06101,40.733623,-106.144728,POINT (403339 4509818)
05-057-06102,40.726613,-106.141157,POINT (403631 4509035)
05-057-06103,40.700644,-106.138777,POINT (403794 4506150)
05-057-06104,40.729983,-106.162098,POINT (401867 4509433)
05-057-06105,40.742303,-106.154048,POINT (402565 4510791)
05-057-06106,40.747683,-106.161068,POINT (401980 4511396)
05-057-06107,40.750353,-106.163938,POINT (401742 4511696)
05-057-06108,40.717416,-106.499149,POINT (373380 4508469)
05-057-06109,40.739553,-106.151138,POINT (402806 4510483)
05-057-06110,40.637545,-106.106246,POINT (406454 4499111)
05-057-06111,40.736673,-106.147248,POINT (403131 4510159)
05-057-06112,40.717395,-106.494593,POINT (373765 4508460)
05-057-06113,40.755023,-106.20216,POINT (398522 4512258)
05-057-06114,40.78358,-106.26269,POINT (393458 4515500)
05-057-06115,40.723674,-106.497717,POINT (373513 4509162)
05-057-06116,40.718904,-106.495657,POINT (373678 4508629)
05-057-06117,40.509995,-106.355202,POINT (385184 4485246)
05-057-06118,40.554274,-106.454886,POINT (376819 4490296)
05-057-06119,40.758933,-106.108567,POINT (406428 4512588)
05-057-06120,40.762493,-106.108597,POINT (406431 4512983)
05-057-06121,40.711652,-106.522569,POINT (371391 4507863)
05-057-06122,40.740743,-106.196029,POINT (399018 4510666)
05-057-06123,40.464395,-106.496686,POINT (373111 4480378)
05-057-06124,40.812241,-106.301789,POINT (390206 4518730)
05-057-06125,40.766253,-106.113357,POINT (406034 4513406)
05-057-06126,40.766303,-106.117907,POINT (405650 4513416)
05-057-06127,40.723245,-106.50107,POINT (373229 4509119)
05-057-06128,40.8084,-106.29576,POINT (390708 4518296)
05-057-06129,40.771793,-106.120297,POINT (405456 4514028)
05-057-06130,40.818372,-106.301243,POINT (390262 4519410)
05-057-06131,40.804242,-106.291053,POINT (391098 4517828)
05-057-06132,40.773643,-106.122657,POINT (405260 4514236)
05-057-06133,40.573626,-105.983151,POINT (416784 4491892)
05-057-06134,40.844511,-106.279953,POINT (392100 4522285)
05-057-06135,40.769863,-106.106187,POINT (406644 4513799)
05-057-06136,40.768053,-106.106787,POINT (406591 4513598)
05-057-06137,40.762513,-106.106187,POINT (406634 4512983)
05-057-06138,40.762513,-106.103797,POINT (406836 4512980)
05-057-06139,40.76082,-106.10594,POINT (406652 4512795)
05-057-06140,40.672684,-106.130277,POINT (404472 4503037)
05-057-06141,40.803922,-106.272172,POINT (392691 4517769)
05-057-06142,40.767,-106.22161,POINT (396899 4513610)
05-057-06143,40.77453,-106.23558,POINT (395731 4514463)
05-057-06144,40.7875,-106.24983,POINT (394549 4515919)
05-057-06145,40.78125,-106.24628,POINT (394839 4515221)
05-057-06146,40.77036,-106.22697,POINT (396451 4513989)
05-057-06147,40.822931,-106.300053,POINT (390370 4519914)
05-057-06148,40.689762,-106.536219,POINT (370195 4505453)
05-057-06149,40.689382,-106.505558,POINT (372785 4505366)
05-057-06150,40.766013,-106.114447,POINT (405942 4513380)
05-057-06151,40.764633,-106.113897,POINT (405986 4513226)
05-057-06152,40.762923,-106.113247,POINT (406039 4513036)
05-057-06153,40.689382,-106.506279,POINT (372725 4505367)
05-057-06154,40.639755,-106.097675,POINT (407182 4499347)
05-057-06155,40.495595,-106.261679,POINT (393085 4483530)
05-057-06156,40.733383,-106.148558,POINT (403015 4509795)
